C:\Program Files\nodejs\node.exe .\dist\src\server.js -debug
> Express ready on http://localhost:3003 : debug=true, pdok=false, runpdok=false
CHILD got start-message
Upload in bestand gezet: ./appdata/publish/temp/gwsw_datamodel_upload.ttl
PARENT got started-message
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Kwaliteitssensor";"Klasse is IMBOR-Kern"
"Kwelscherm";"Klasse is IMBOR-Kern"
"Laadbrug";"Klasse is IMBOR-Kern"
"Laadplein";"Klasse is IMBOR-Kern"
"aantal laadpalen";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"Lichtbron";"Klasse is IMBOR-Kern"
"stroomsterkte";"Attribuut is IMBOR-Kern"
"remplace";"Attribuut is IMBOR-Kern"
"systeemvermogen";"Attribuut is IMBOR-Kern"
"vermogen";"Attribuut is IMBOR-Kern"
"CLO";"Attribuut is IMBOR-Kern"
"lumenstroom";"Attribuut is IMBOR-Kern"
"rood licht bewaking";"Attribuut is IMBOR-Kern"
"dimbaar";"Attribuut is IMBOR-Kern"
"branduren";"Attribuut is IMBOR-Kern"
"remplacegroep";"Attribuut is IMBOR-Kern"
"remplacedatum";"Attribuut is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"optieksoort";"Attribuut is IMBOR-Kern"
"CRI";"Attribuut is IMBOR-Kern"
"aantal leds";"Attribuut is IMBOR-Kern"
"kleurtemperatuur";"Attribuut is IMBOR-Kern"
"optiekcode";"Attribuut is IMBOR-Kern"
"lampvoettype";"Attribuut is IMBOR-Kern"
"regelbaar spectrum";"Attribuut is IMBOR-Kern"
"dimprofiel";"Attribuut is IMBOR-Kern"
"lampschakeling";"Attribuut is IMBOR-Kern"
"Leuning";"Klasse is IMBOR-Kern"
"omtrek";"Attribuut is IMBOR-Kern"
"verplaatsbaar";"Attribuut is IMBOR-Kern"
"Lichtbaken";"Klasse is IMBOR-Kern"
"Lichtsensor";"Klasse is IMBOR-Kern"
"Lift";"Klasse is IMBOR-Kern"
"Ligplaats";"Klasse is IMBOR-Kern"
"Loopdek";"Klasse is IMBOR-Kern"
Loze leiding - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
Loze put - Klasse met attributen zijn exclusief SW: Volgens KlassenAttributen (de klasse + attributen zijn allen SW)
"Luchtkwaliteitssensor";"Klasse is IMBOR-Kern"
"Luchtscherm";"Klasse is IMBOR-Kern"
"wegnummer";"Attribuut is IMBOR-Kern"
"Luidspreker";"Klasse is IMBOR-Kern"
"Luifel";"Klasse is IMBOR-Kern"
"Mantelbuis";"Klasse is IMBOR-Kern"
"Markeringspaal";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"Meerpaal";"Klasse is IMBOR-Kern"
"Meerstoel";"Klasse is IMBOR-Kern"
"Meetbuis";"Klasse is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"Meldpaal";"Klasse is IMBOR-Kern"
"verschijningsvorm";"Attribuut is IMBOR-Kern"
"diameter";"Attribuut is IMBOR-Kern"
"Mistbaken";"Klasse is IMBOR-Kern"
