Class1,Property,object
http://data.gwsw.nl/1.6/totaal/GescheidenSysteem,hasPart,http://data.gwsw.nl/1.6/totaal/Hemelwaterstelsel
http://data.gwsw.nl/1.6/totaal/GescheidenSysteem,hasPart,http://data.gwsw.nl/1.6/totaal/Vuilwaterstelsel
http://data.gwsw.nl/1.6/totaal/GescheidenSysteem,isPartOf,http://data.gwsw.nl/1.6/totaal/Afvalwatersysteem
http://data.gwsw.nl/1.6/totaal/Transportstelsel,hasPart,http://data.gwsw.nl/1.6/totaal/Overnamepunt
http://data.gwsw.nl/1.6/totaal/Transportstelsel,isPartOf,http://data.gwsw.nl/1.6/totaal/Zuiveringsgebied
http://data.gwsw.nl/1.6/totaal/Rioolstelsel,isPartOf,http://data.gwsw.nl/1.6/totaal/Rioleringsgebied
http://data.gwsw.nl/1.6/totaal/Rioolstelsel,hasRepresentation,http://data.gwsw.nl/1.6/totaal/HydraulischRioleringsmodel
http://data.gwsw.nl/1.6/totaal/Stuwmuur,hasAspect,http://data.gwsw.nl/1.6/totaal/Afvoercoefficient
http://data.gwsw.nl/1.6/totaal/Stuwmuur,isPartOf,http://data.gwsw.nl/1.6/totaal/Stuwconstructie
http://data.gwsw.nl/1.6/totaal/Stuwmuur,isPartOf,http://data.gwsw.nl/1.6/totaal/Stuwput
http://data.gwsw.nl/1.6/totaal/Stuwmuur,hasAspect,http://data.gwsw.nl/1.6/totaal/VrijeOverstorthoogte
http://data.gwsw.nl/1.6/totaal/Stuwmuur,hasAspect,http://data.gwsw.nl/1.6/totaal/Drempelniveau
http://data.gwsw.nl/1.6/totaal/Stuwmuur,hasAspect,http://data.gwsw.nl/1.6/totaal/Stromingsrichting
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,hasAspect,http://data.gwsw.nl/1.6/totaal/Drempelniveau
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,isPartOf,http://data.gwsw.nl/1.6/totaal/Overstortput
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,hasAspect,http://data.gwsw.nl/1.6/totaal/Stromingsrichting
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,hasAspect,http://data.gwsw.nl/1.6/totaal/VrijeOverstorthoogte
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,isPartOf,http://data.gwsw.nl/1.6/totaal/Overstortconstructie
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,hasAspect,http://data.gwsw.nl/1.6/totaal/Afvoercoefficient
http://data.gwsw.nl/1.6/totaal/Overstortdrempel,isPartOf,http://data.gwsw.nl/1.6/totaal/Slokop
http://data.gwsw.nl/1.6/totaal/OpenLeiding,hasAspect,http://data.gwsw.nl/1.6/totaal/ProfielOpenLeiding
http://data.gwsw.nl/1.6/totaal/Code,isAspectOf,http://data.gwsw.nl/1.6/totaal/Rioleringsgebied
http://data.gwsw.nl/1.6/totaal/Code,isAspectOf,http://data.gwsw.nl/1.6/totaal/Zuiveringsgebied
http://data.gwsw.nl/1.6/totaal/Code,isAspectOf,http://data.gwsw.nl/1.6/totaal/RWZI
http://data.gwsw.nl/1.6/totaal/Stelsel,hasPart,http://data.gwsw.nl/1.6/totaal/Meetinstrument
http://data.gwsw.nl/1.6/totaal/Stelsel,isPartOf,http://modellen.geostandaarden.nl/def/nen3610-2022#RegistratieveRuimte
http://data.gwsw.nl/1.6/totaal/Stelsel,hasAspect,http://data.gwsw.nl/1.6/totaal/Gebiedsorientatie
